id,datetime,vehicle_type,velocity,traffic_lane,lon,lat,kilopost,vehicle_length,detected_flag
1377,073009400,1,48.0,2,135.4700032,34.7109323,3525.5,3.5,1
1377,073009500,1,48.1,2,135.4700118,34.710922,3524.1,3.5,1
1377,073009600,1,48.3,2,135.4700208,34.7109114,3522.4,3.5,1
1377,073009700,1,48.9,2,135.47003,34.7109007,3520.8,3.5,1
1377,073009800,1,49.5,2,135.4700392,34.7108901,3519.3,3.5,1
1377,073009900,1,49.7,2,135.4700483,34.7108795,3518.0,3.5,1
1377,073010000,1,49.7,2,135.4700574,34.7108691,3516.7,3.5,1
1377,073010100,1,48.7,2,135.4700664,34.7108587,3515.6,3.5,1
1377,073010200,1,48.7,2,135.4700753,34.7108483,3514.1,3.5,1
1377,073010300,1,48.8,2,135.4700843,34.7108379,3512.3,3.5,1
1377,073010400,1,49.6,2,135.4700933,34.7108274,3510.7,3.5,1
1377,073010500,1,50.2,2,135.4701025,34.7108169,3509.3,3.5,1
1377,073010600,1,50.2,2,135.4701117,34.7108062,3507.9,3.5,1
1377,073010700,1,50.2,2,135.4701211,34.7107954,3506.7,3.5,1
1377,073010800,1,49.8,2,135.4701306,34.7107845,3505.5,3.5,1
1377,073010900,1,49.6,2,135.4701402,34.7107735,3503.8,3.5,1
1377,073011000,1,49.8,2,135.4701497,34.7107626,3502.4,3.5,1
1377,073011100,1,50.6,2,135.4701592,34.7107517,3501.0,3.5,1
1378,073000000,1,38.7,1,135.4700044,34.7109892,3530.3,3.0,0
1378,073000100,1,38.7,1,135.4700056,34.7109871,3530.1,3.0,0
1378,073000200,1,38.8,1,135.470008,34.7109846,3529.7,3.0,0
1378,073000300,1,38.8,1,135.4700119,34.7109813,3529.0,3.0,0
1378,073000400,1,38.8,1,135.4700174,34.7109767,3528.4,3.0,1
1378,073000500,1,38.5,1,135.4700244,34.7109706,3527.5,3.0,1
1378,073000600,1,38.3,1,135.4700324,34.7109633,3526.5,3.0,1
1378,073000700,1,38.6,1,135.4700408,34.710955,3525.4,3.0,1
1378,073000800,1,39.0,1,135.4700491,34.7109462,3524.4,3.0,1
1378,073000900,1,40.2,1,135.4700572,34.7109373,3522.8,3.0,1
1378,073001000,1,40.7,1,135.4700649,34.7109285,3521.5,3.0,1
1378,073001100,1,40.9,1,135.4700722,34.7109199,3520.2,3.0,1
1378,073001200,1,40.5,1,135.4700792,34.7109115,3519.1,3.0,1
1378,073001300,1,40.6,1,135.4700861,34.7109032,3517.9,3.0,1
1378,073001400,1,40.2,1,135.4700929,34.710895,3517.1,3.0,1
1378,073001500,1,39.5,1,135.4700997,34.7108866,3516.2,3.0,1
1378,073001600,1,39.0,1,135.4701067,34.7108781,3515.3,3.0,1
1378,073001700,1,39.0,1,135.4701139,34.7108695,3514.0,3.0,1
1378,073001800,1,39.4,1,135.4701211,34.7108607,3512.6,3.0,1
1378,073001900,1,40.1,1,135.4701285,34.7108519,3511.3,3.0,1
1378,073002000,1,41.3,1,135.4701359,34.710843,3509.7,3.0,1
1378,073002100,1,41.3,1,135.4701433,34.7108341,3508.8,3.0,1
1378,073002200,1,40.6,1,135.4701507,34.7108253,3507.5,3.0,1
1378,073002300,1,40.6,1,135.4701581,34.7108165,3506.6,3.0,1
1378,073002400,1,40.9,1,135.4701655,34.7108077,3505.6,3.0,1
1378,073002500,1,40.5,1,135.4701728,34.710799,3504.5,3.0,1
1378,073002600,1,40.3,1,135.47018,34.7107903,3503.2,3.0,1
1378,073002700,1,40.7,1,135.4701873,34.7107815,3502.1,3.0,1
1378,073002800,1,40.2,1,135.4701945,34.7107727,3501.1,3.0,1
1379,073000000,1,42.3,1,135.4698757,34.7111368,3555.9,4.0,1
1379,073000100,1,42.7,1,135.4698835,34.7111276,3554.7,4.0,1
1379,073000200,1,42.7,1,135.4698911,34.7111187,3553.8,4.0,1
1379,073000300,1,42.0,1,135.4698985,34.71111,3552.5,4.0,1
1379,073000400,1,42.0,1,135.4699057,34.7111016,3551.6,4.0,1
1379,073000500,1,42.1,1,135.4699127,34.7110935,3550.9,4.0,1
1379,073000600,1,40.9,1,135.4699196,34.7110856,3549.6,4.0,1
1379,073000700,1,40.1,1,135.4699265,34.711078,3548.2,4.0,1
1379,073000800,1,42.2,1,135.4699334,34.7110706,3547.3,4.0,1
1379,073000900,1,42.1,1,135.4699404,34.7110633,3546.4,4.0,0
1379,073001000,1,42.0,1,135.4699475,34.711056,3545.4,4.0,0
1379,073001100,1,42.0,1,135.4699547,34.7110487,3544.1,4.0,0
1379,073001200,1,41.9,1,135.469962,34.7110414,3543.2,4.0,0
1379,073001300,1,41.8,1,135.4699694,34.711034,3541.4,4.0,0
1379,073001400,1,41.7,1,135.4699766,34.7110267,3540.4,4.0,0
1379,073001500,1,41.6,1,135.4699836,34.7110195,3539.5,4.0,0
1379,073001600,1,41.6,1,135.46999,34.7110128,3532.5,4.0,0
1379,073001700,1,41.5,1,135.4699954,34.7110066,3532.5,4.0,0
1379,073001800,1,41.4,1,135.4699996,34.7110014,3532.0,4.0,0
